goalie,period,x,y,shotType,target,goalProb
8479394,2,76.0,27.0,Snap Shot,0,0.07
8479394,2,70.0,-16.0,Slap Shot,0,0.163
8479394,2,86.0,-12.0,Wrist Shot,0,0.101
8479394,2,83.0,1.0,Snap Shot,0,0.27
8479394,3,-56.0,-12.0,Wrist Shot,0,0.019
8479394,3,58.0,16.0,Snap Shot,0,0.085
8471239,3,86.0,8.0,Tip-In,0,0.177
8471239,3,84.0,4.0,Snap Shot,0,0.301
8471239,3,73.0,27.0,Snap Shot,1,0.075
8471239,3,78.0,-21.0,Wrist Shot,0,0.046
8471239,3,77.0,1.0,Backhand,1,0.175
8471239,3,56.0,23.0,Snap Shot,0,0.056
8479394,3,29.0,-38.0,Wrist Shot,0,0.016
8471239,3,53.0,-28.0,Wrist Shot,0,0.025
8471239,3,69.0,24.0,Wrist Shot,0,0.095
8471239,3,69.0,28.0,Snap Shot,0,0.049
8471239,3,41.0,-6.0,Snap Shot,0,0.059
8479394,3,36.0,-35.0,Slap Shot,0,0.026
8471239,3,80.0,2.0,Wrist Shot,1,0.316
8471239,3,70.0,2.0,Wrist Shot,0,0.159
8479394,3,11.0,25.0,Slap Shot,0,0.023
8479394,3,88.0,-10.0,Backhand,0,0.099
8479394,3,55.0,21.0,Snap Shot,0,0.079
8471239,3,35.0,-13.0,Wrist Shot,0,0.049
8479394,3,85.0,25.0,Snap Shot,0,0.064
8475156,1,69.0,-24.0,Slap Shot,0,0.139
8475156,1,73.0,-11.0,Snap Shot,0,0.179
8475156,1,89.0,-2.0,Wrap-around,0,0.107
8478406,1,80.0,-13.0,Snap Shot,0,0.138
8478406,1,35.0,20.0,Snap Shot,0,0.03
8475156,1,69.0,-15.0,Wrist Shot,1,0.1
8478406,1,68.0,24.0,Wrist Shot,0,0.075
8478406,1,79.0,-12.0,Snap Shot,1,0.279
8475156,1,54.0,11.0,Snap Shot,0,0.066
8478406,1,80.0,-22.0,Snap Shot,0,0.049
8475156,1,73.0,20.0,Snap Shot,0,0.098
8475156,1,31.0,36.0,Snap Shot,0,0.016
8478406,2,85.0,-20.0,Wrist Shot,0,0.049
8475156,2,45.0,-38.0,Snap Shot,0,0.023
8475156,2,63.0,19.0,Snap Shot,0,0.087
8475156,2,73.0,6.0,Snap Shot,0,0.188
8475156,2,67.0,33.0,Wrist Shot,0,0.027
8478406,2,64.0,-19.0,Snap Shot,0,0.128
8478406,2,68.0,3.0,Wrist Shot,0,0.13
8475156,2,78.0,-23.0,Snap Shot,0,0.048
8478406,2,33.0,-5.0,Slap Shot,0,0.033
8478406,2,53.0,-33.0,Snap Shot,0,0.024
8475156,2,29.0,25.0,Deflected,0,0.019
8478406,2,74.0,12.0,Snap Shot,0,0.174
8475156,2,57.0,-2.0,Snap Shot,0,0.088
8475156,2,76.0,2.0,Snap Shot,0,0.224
8475156,2,48.0,21.0,Slap Shot,1,0.045
8475156,2,90.0,4.0,Snap Shot,0,0.424
8478406,2,35.0,-21.0,Snap Shot,0,0.027
8478406,2,-72.0,-39.0,Wrist Shot,0,0.015
8475156,2,64.0,19.0,Snap Shot,0,0.086
8475156,2,29.0,31.0,Snap Shot,0,0.016
8478406,2,60.0,9.0,Snap Shot,0,0.14
8478406,2,68.0,18.0,Snap Shot,0,0.129
8478406,2,82.0,1.0,Tip-In,1,0.231
8475156,3,39.0,-16.0,Snap Shot,0,0.029
8475156,3,55.0,2.0,Slap Shot,0,0.11
8475156,3,82.0,10.0,Snap Shot,0,0.167
8478406,3,58.0,34.0,Snap Shot,0,0.023
8478406,3,67.0,40.0,Snap Shot,0,0.021
8475156,3,73.0,11.0,Slap Shot,0,0.212
8475156,3,51.0,-18.0,Snap Shot,0,0.052
8475156,3,26.0,25.0,Slap Shot,0,0.023
8475156,3,76.0,-11.0,Snap Shot,0,0.158
8475156,3,77.0,20.0,Wrist Shot,1,0.07
8475156,3,30.0,-34.0,Snap Shot,0,0.019
8478406,3,33.0,-11.0,Snap Shot,0,0.045
8478406,3,87.0,2.0,Wrist Shot,1,0.618
8478406,4,52.0,14.0,Snap Shot,0,0.063
8478406,4,79.0,-2.0,Wrist Shot,0,0.207
8475156,4,80.0,-20.0,Snap Shot,0,0.096
8475156,4,80.0,-6.0,Wrist Shot,0,0.196
8475156,4,74.0,-9.0,Backhand,0,0.123
8471239,1,83.0,-18.0,Wrist Shot,0,0.08
8471695,1,79.0,-13.0,Deflected,0,0.1
8471239,1,39.0,-10.0,Wrist Shot,1,0.026
8471239,1,82.0,-3.0,Backhand,0,0.207
8471239,1,80.0,-1.0,Backhand,0,0.199
8471239,1,71.0,-29.0,Wrist Shot,0,0.048
8471239,1,72.0,30.0,Wrist Shot,0,0.042
8471695,1,54.0,35.0,Snap Shot,0,0.021
8471695,1,42.0,-25.0,Snap Shot,0,0.028
8471695,1,81.0,-4.0,Backhand,0,0.192
8471239,1,76.0,-27.0,Wrist Shot,0,0.047
8471695,1,56.0,5.0,Wrist Shot,0,0.076
8471695,1,58.0,5.0,Wrist Shot,0,0.077
8471239,1,28.0,37.0,Wrist Shot,0,0.014
8471239,1,54.0,-33.0,Wrist Shot,0,0.022
8471695,1,74.0,-18.0,Snap Shot,0,0.09
8471239,1,79.0,-1.0,Snap Shot,1,0.239
8471695,1,37.0,27.0,Backhand,0,0.018
8471239,1,28.0,30.0,Snap Shot,0,0.016
8471239,1,36.0,33.0,Slap Shot,0,0.022
8471239,1,81.0,34.0,Snap Shot,0,0.032
8471239,1,89.0,-4.0,Wrist Shot,0,0.281
8471695,1,72.0,-1.0,Wrist Shot,0,0.17
8471239,1,83.0,2.0,Wrist Shot,0,0.228
8471695,1,88.0,-5.0,Backhand,0,0.152
8471239,2,55.0,9.0,Snap Shot,0,0.216
8471239,2,83.0,-5.0,Deflected,0,0.216
8471239,2,34.0,3.0,Slap Shot,0,0.035
8471695,2,39.0,6.0,Snap Shot,0,0.032
8471239,2,83.0,17.0,Wrist Shot,0,0.082
8471239,2,67.0,-21.0,Snap Shot,0,0.085
8471695,2,-58.0,0.0,Snap Shot,0,0.023
8471239,2,20.0,-41.0,Deflected,0,0.047
